Provincia de destino (agrupadas por comunidades y ciudades autónomas);Nacionalidad;Sexo;año;Total
ANDALUCÍA;Total;Total;1998;134.810
ANDALUCÍA;Total;Total;1999;148.815
ANDALUCÍA;Total;Total;2000;153.894
ANDALUCÍA;Total;Total;2001;139.871
ANDALUCÍA;Total;Total;2002;190.645
ANDALUCÍA;Total;Total;2003;214.561
ANDALUCÍA;Total;Total;2004;224.577
ANDALUCÍA;Total;Total;2005;223.657
ANDALUCÍA;Total;Total;2006;242.021
ANDALUCÍA;Total;Total;2007;254.045
ANDALUCÍA;Total;Total;2008;230.741
ANDALUCÍA;Total;Total;2009;234.477
ANDALUCÍA;Total;Total;2010;240.269
ANDALUCÍA;Total;Total;2011;236.302
ANDALUCÍA;Total;Total;2012;223.754
ANDALUCÍA;Total;Total;2013;223.158
ANDALUCÍA;Total;Total;2014;232.552
ANDALUCÍA;Total;Total;2015;234.831
ANDALUCÍA;Total;Total;2016;217.282
ANDALUCÍA;Total;Total;2017;216.563
ANDALUCÍA;Total;Total;2018;236.524
ANDALUCÍA;Total;Total;2019;238.913
