País de residencia;Tipo de dato;Gastos y duración media de los viajes;Periodo;Total
Total;Dato base;Gasto medio por persona;2015M10;976
Total;Dato base;Gasto medio por persona;2015M11;1.031
Total;Dato base;Gasto medio por persona;2015M12;1.074
Total;Dato base;Gasto medio por persona;2016M01;1.060
Total;Dato base;Gasto medio por persona;2016M02;1.007
Total;Dato base;Gasto medio por persona;2016M03;999
Total;Dato base;Gasto medio por persona;2016M04;925
Total;Dato base;Gasto medio por persona;2016M05;973
Total;Dato base;Gasto medio por persona;2016M06;1.035
Total;Dato base;Gasto medio por persona;2016M07;1.073
Total;Dato base;Gasto medio por persona;2016M08;1.025
Total;Dato base;Gasto medio por persona;2016M09;1.059
Total;Dato base;Gasto medio por persona;2016M10;1.027
Total;Dato base;Gasto medio por persona;2016M11;1.026
Total;Dato base;Gasto medio por persona;2016M12;1.134
Total;Dato base;Gasto medio por persona;2017M01;1.091
Total;Dato base;Gasto medio por persona;2017M02;1.045
Total;Dato base;Gasto medio por persona;2017M03;1.040
Total;Dato base;Gasto medio por persona;2017M04;958
Total;Dato base;Gasto medio por persona;2017M05;991
Total;Dato base;Gasto medio por persona;2017M06;1.066
Total;Dato base;Gasto medio por persona;2017M07;1.129
Total;Dato base;Gasto medio por persona;2017M08;1.091
Total;Dato base;Gasto medio por persona;2017M09;1.067
Total;Dato base;Gasto medio por persona;2017M10;1.071
Total;Dato base;Gasto medio por persona;2017M11;1.057
Total;Dato base;Gasto medio por persona;2017M12;1.138
Total;Dato base;Gasto medio por persona;2018M01;1.102
Total;Dato base;Gasto medio por persona;2018M02;1.075
Total;Dato base;Gasto medio por persona;2018M03;1.062
Total;Dato base;Gasto medio por persona;2018M04;977
Total;Dato base;Gasto medio por persona;2018M05;1.009
Total;Dato base;Gasto medio por persona;2018M06;1.095
Total;Dato base;Gasto medio por persona;2018M07;1.172
Total;Dato base;Gasto medio por persona;2018M08;1.126
Total;Dato base;Gasto medio por persona;2018M09;1.069
Total;Dato base;Gasto medio por persona;2018M10;1.067
Total;Dato base;Gasto medio por persona;2018M11;1.078
Total;Dato base;Gasto medio por persona;2018M12;1.150
Total;Dato base;Gasto medio por persona;2019M01;1.115
Total;Dato base;Gasto medio por persona;2019M02;1.063
Total;Dato base;Gasto medio por persona;2019M03;1.068
Total;Dato base;Gasto medio por persona;2019M04;987
Total;Dato base;Gasto medio por persona;2019M05;1.028
Total;Dato base;Gasto medio por persona;2019M06;1.096
Total;Dato base;Gasto medio por persona;2019M07;1.209
Total;Dato base;Gasto medio por persona;2019M08;1.157
Total;Dato base;Gasto medio por persona;2019M09;1.087
Total;Dato base;Gasto medio por persona;2019M10;1.097
Total;Dato base;Gasto medio por persona;2019M11;1.088
Total;Dato base;Gasto medio por persona;2019M12;1.164
Total;Dato base;Gasto medio por persona;2020M01;1.155
Total;Dato base;Gasto medio por persona;2020M02;1.066
Total;Dato base;Gasto medio por persona;2020M03;1.097
Total;Dato base;Gasto medio por persona;2020M04;0
Total;Dato base;Gasto medio por persona;2020M05;0
Total;Dato base;Gasto medio por persona;2020M06;651
Total;Dato base;Gasto medio por persona;2020M07;994
Total;Dato base;Gasto medio por persona;2020M08;1.006
Total;Dato base;Gasto medio por persona;2020M09;849
Total;Dato base;Gasto medio por persona;2020M10;845
Total;Dato base;Gasto medio por persona;2020M11;1.022
