Comunidades  autónomas;Gastos y duración media de los viajes;Tipo de dato;Periodo;Total
01 Andalucía;Gasto total;Dato base;2015M10;1.049
01 Andalucía;Gasto total;Dato base;2015M11;530
01 Andalucía;Gasto total;Dato base;2015M12;554
01 Andalucía;Gasto total;Dato base;2016M01;509
01 Andalucía;Gasto total;Dato base;2016M02;487
01 Andalucía;Gasto total;Dato base;2016M03;721
01 Andalucía;Gasto total;Dato base;2016M04;992
01 Andalucía;Gasto total;Dato base;2016M05;1.143
01 Andalucía;Gasto total;Dato base;2016M06;1.149
01 Andalucía;Gasto total;Dato base;2016M07;1.271
01 Andalucía;Gasto total;Dato base;2016M08;1.434
01 Andalucía;Gasto total;Dato base;2016M09;1.186
01 Andalucía;Gasto total;Dato base;2016M10;1.208
01 Andalucía;Gasto total;Dato base;2016M11;570
01 Andalucía;Gasto total;Dato base;2016M12;650
01 Andalucía;Gasto total;Dato base;2017M01;568
01 Andalucía;Gasto total;Dato base;2017M02;594
01 Andalucía;Gasto total;Dato base;2017M03;814
01 Andalucía;Gasto total;Dato base;2017M04;1.097
01 Andalucía;Gasto total;Dato base;2017M05;1.239
01 Andalucía;Gasto total;Dato base;2017M06;1.325
01 Andalucía;Gasto total;Dato base;2017M07;1.600
01 Andalucía;Gasto total;Dato base;2017M08;1.543
01 Andalucía;Gasto total;Dato base;2017M09;1.435
01 Andalucía;Gasto total;Dato base;2017M10;1.234
01 Andalucía;Gasto total;Dato base;2017M11;613
01 Andalucía;Gasto total;Dato base;2017M12;611
01 Andalucía;Gasto total;Dato base;2018M01;597
01 Andalucía;Gasto total;Dato base;2018M02;660
01 Andalucía;Gasto total;Dato base;2018M03;901
01 Andalucía;Gasto total;Dato base;2018M04;1.002
01 Andalucía;Gasto total;Dato base;2018M05;1.228
01 Andalucía;Gasto total;Dato base;2018M06;1.271
01 Andalucía;Gasto total;Dato base;2018M07;1.586
01 Andalucía;Gasto total;Dato base;2018M08;1.528
01 Andalucía;Gasto total;Dato base;2018M09;1.387
01 Andalucía;Gasto total;Dato base;2018M10;1.209
01 Andalucía;Gasto total;Dato base;2018M11;639
01 Andalucía;Gasto total;Dato base;2018M12;633
01 Andalucía;Gasto total;Dato base;2019M01;596
01 Andalucía;Gasto total;Dato base;2019M02;621
01 Andalucía;Gasto total;Dato base;2019M03;884
01 Andalucía;Gasto total;Dato base;2019M04;986
01 Andalucía;Gasto total;Dato base;2019M05;1.175
01 Andalucía;Gasto total;Dato base;2019M06;1.240
01 Andalucía;Gasto total;Dato base;2019M07;1.401
01 Andalucía;Gasto total;Dato base;2019M08;1.541
01 Andalucía;Gasto total;Dato base;2019M09;1.359
01 Andalucía;Gasto total;Dato base;2019M10;1.269
01 Andalucía;Gasto total;Dato base;2019M11;673
01 Andalucía;Gasto total;Dato base;2019M12;669
01 Andalucía;Gasto total;Dato base;2020M01;674
01 Andalucía;Gasto total;Dato base;2020M02;656
01 Andalucía;Gasto total;Dato base;2020M03;340
01 Andalucía;Gasto total;Dato base;2020M04;11
01 Andalucía;Gasto total;Dato base;2020M05;11
01 Andalucía;Gasto total;Dato base;2020M06;11
01 Andalucía;Gasto total;Dato base;2020M07;352
01 Andalucía;Gasto total;Dato base;2020M08;389
01 Andalucía;Gasto total;Dato base;2020M09;165
01 Andalucía;Gasto total;Dato base;2020M10;151
01 Andalucía;Gasto total;Dato base;2020M11;58
