Comunidades  autónomas;Gastos y duración media de los viajes;Tipo de dato;Periodo;Total
01 Andalucía;Gasto total;Dato base;2015M10; $ 1.048,87 
01 Andalucía;Gasto total;Dato base;2015M11; $ 530,29 
01 Andalucía;Gasto total;Dato base;2015M12; $ 554,09 
01 Andalucía;Gasto total;Dato base;2016M01; $ 508,57 
01 Andalucía;Gasto total;Dato base;2016M02; $ 486,69 
01 Andalucía;Gasto total;Dato base;2016M03; $ 720,63 
01 Andalucía;Gasto total;Dato base;2016M04; $ 991,56 
01 Andalucía;Gasto total;Dato base;2016M05; $ 1.143,03 
01 Andalucía;Gasto total;Dato base;2016M06; $ 1.148,96 
01 Andalucía;Gasto total;Dato base;2016M07; $ 1.270,92 
01 Andalucía;Gasto total;Dato base;2016M08; $ 1.434,18 
01 Andalucía;Gasto total;Dato base;2016M09; $ 1.186,24 
01 Andalucía;Gasto total;Dato base;2016M10; $ 1.208,36 
01 Andalucía;Gasto total;Dato base;2016M11; $ 570,24 
01 Andalucía;Gasto total;Dato base;2016M12; $ 649,54 
01 Andalucía;Gasto total;Dato base;2017M01; $ 568,47 
01 Andalucía;Gasto total;Dato base;2017M02; $ 594,14 
01 Andalucía;Gasto total;Dato base;2017M03; $ 814,43 
01 Andalucía;Gasto total;Dato base;2017M04; $ 1.097,25 
01 Andalucía;Gasto total;Dato base;2017M05; $ 1.238,78 
01 Andalucía;Gasto total;Dato base;2017M06; $ 1.324,55 
01 Andalucía;Gasto total;Dato base;2017M07; $ 1.600,03 
01 Andalucía;Gasto total;Dato base;2017M08; $ 1.543,01 
01 Andalucía;Gasto total;Dato base;2017M09; $ 1.434,84 
01 Andalucía;Gasto total;Dato base;2017M10; $ 1.233,58 
01 Andalucía;Gasto total;Dato base;2017M11; $ 612,92 
01 Andalucía;Gasto total;Dato base;2017M12; $ 610,86 
01 Andalucía;Gasto total;Dato base;2018M01; $ 597,05 
01 Andalucía;Gasto total;Dato base;2018M02; $ 660,49 
01 Andalucía;Gasto total;Dato base;2018M03; $ 900,66 
01 Andalucía;Gasto total;Dato base;2018M04; $ 1.002,42 
01 Andalucía;Gasto total;Dato base;2018M05; $ 1.227,53 
01 Andalucía;Gasto total;Dato base;2018M06; $ 1.271,05 
01 Andalucía;Gasto total;Dato base;2018M07; $ 1.586,08 
01 Andalucía;Gasto total;Dato base;2018M08; $ 1.527,78 
01 Andalucía;Gasto total;Dato base;2018M09; $ 1.386,97 
01 Andalucía;Gasto total;Dato base;2018M10; $ 1.209,02 
01 Andalucía;Gasto total;Dato base;2018M11; $ 639,49 
01 Andalucía;Gasto total;Dato base;2018M12; $ 632,85 
01 Andalucía;Gasto total;Dato base;2019M01; $ 596,04 
01 Andalucía;Gasto total;Dato base;2019M02; $ 621,42 
01 Andalucía;Gasto total;Dato base;2019M03; $ 884,26 
01 Andalucía;Gasto total;Dato base;2019M04; $ 985,77 
01 Andalucía;Gasto total;Dato base;2019M05; $ 1.174,90 
01 Andalucía;Gasto total;Dato base;2019M06; $ 1.240,00 
01 Andalucía;Gasto total;Dato base;2019M07; $ 1.400,59 
01 Andalucía;Gasto total;Dato base;2019M08; $ 1.540,54 
01 Andalucía;Gasto total;Dato base;2019M09; $ 1.358,57 
01 Andalucía;Gasto total;Dato base;2019M10; $ 1.269,13 
01 Andalucía;Gasto total;Dato base;2019M11; $ 673,02 
01 Andalucía;Gasto total;Dato base;2019M12; $ 668,73 
01 Andalucía;Gasto total;Dato base;2020M01; $ 673,89 
01 Andalucía;Gasto total;Dato base;2020M02; $ 655,80 
01 Andalucía;Gasto total;Dato base;2020M03; $ 340,47 
01 Andalucía;Gasto total;Dato base;2020M04; $ 5,00 
01 Andalucía;Gasto total;Dato base;2020M05; $ 9,00 
01 Andalucía;Gasto total;Dato base;2020M06; $ 11,07 
01 Andalucía;Gasto total;Dato base;2020M07; $ 352,21 
01 Andalucía;Gasto total;Dato base;2020M08; $ 389,35 
01 Andalucía;Gasto total;Dato base;2020M09; $ 164,91 
01 Andalucía;Gasto total;Dato base;2020M10; $ 150,72 
01 Andalucía;Gasto total;Dato base;2020M11; $ 57,96 
